transaction_date,count
2023-11-11,373
2019-05-18,366
2021-10-25,366
2022-08-14,351
2022-11-27,351
2019-10-18,349
2020-03-24,349
2020-01-17,346
2021-11-10,346
2023-07-12,346
2019-11-18,345
2023-06-05,345
2023-07-31,344
2021-08-25,343
2022-11-23,343
2020-09-18,342
2023-01-08,342
2019-09-16,341
2021-06-06,341
2022-08-20,341
2022-09-29,341
2019-06-02,340
2019-08-22,340
2019-08-29,340
2019-10-13,340
2019-12-16,340
2020-01-05,340
2020-08-06,340
2022-03-26,340
2022-06-01,340
2022-11-26,340
2019-03-10,339
2021-01-15,339
2021-10-20,339
2022-10-11,339
2023-11-17,339
2019-07-24,338
2022-11-05,338
2021-07-27,337
2021-10-06,337
2023-08-05,337
2021-01-17,336
2022-04-23,336
2023-02-15,336
2020-08-28,335
2020-09-21,335
2022-04-08,335
2020-01-24,334
2021-01-01,334
2021-06-15,334
2021-06-18,334
2021-10-01,334
2021-10-14,334
2022-06-02,334
2022-06-14,334
2023-01-11,334
2023-06-06,334
2023-12-27,334
2019-01-06,333
2019-02-23,333
2019-05-21,333
2019-06-14,333
2019-10-17,333
2020-09-07,333
2021-10-28,333
2022-03-21,333
2022-06-08,333
2023-04-18,333
2023-07-25,333
2023-10-07,333
2019-10-26,332
2019-12-21,332
2020-02-01,332
2020-04-11,332
2020-09-28,332
2022-03-20,332
2022-05-12,332
2022-05-27,332
2022-11-06,332
2023-07-18,332
2019-06-28,331
2020-09-14,331
2020-12-10,331
2021-05-09,331
2021-08-06,331
2021-08-15,331
2021-10-11,331
2021-11-26,331
2022-02-04,331
2022-11-02,331
2023-08-28,331
2019-01-11,330
2020-11-20,330
2020-12-07,330
2021-05-21,330
2021-07-15,330
2021-09-12,330
2021-12-29,330
2023-07-13,330
2023-09-15,330
2023-10-03,330
2023-10-24,330
2019-03-18,329
2019-05-04,329
2019-08-01,329
2019-08-12,329
2019-09-05,329
2020-01-20,329
2020-07-02,329
2020-11-11,329
2021-06-01,329
2022-05-13,329
2022-06-29,329
2022-08-09,329
2022-12-09,329
2023-01-22,329
2023-02-01,329
2023-06-26,329
2023-12-17,329
2019-05-16,328
2019-07-10,328
2020-06-21,328
2023-05-06,328
2023-05-09,328
2023-05-19,328
2019-07-30,327
2019-08-11,327
2019-11-02,327
2020-05-02,327
2020-06-01,327
2021-11-15,327
2022-04-28,327
2023-01-28,327
2023-06-17,327
2023-07-10,327
2019-01-08,326
2019-04-17,326
2019-04-25,326
2019-05-27,326
2019-08-04,326
2019-08-07,326
2020-06-22,326
2022-06-13,326
2022-07-08,326
2022-07-30,326
2023-01-16,326
2023-08-19,326
2023-09-12,326
2019-06-18,325
2019-07-29,325
2019-10-11,325
2019-10-16,325
2020-03-15,325
2021-01-10,325
2021-03-22,325
2021-05-07,325
2021-12-12,325
2022-03-08,325
2022-04-13,325
2023-03-30,325
2023-06-14,325
2023-07-02,325
2023-09-22,325
2023-09-27,325
2023-11-08,325
2023-12-21,325
2019-08-06,324
2020-05-11,324
2020-06-27,324
2020-08-11,324
2020-09-25,324
2020-12-26,324
2021-01-03,324
2021-01-27,324
2021-02-23,324
2021-12-17,324
2022-05-24,324
2022-05-28,324
2022-08-04,324
2023-03-28,324
2023-05-14,324
2023-06-16,324
2023-06-23,324
2023-12-03,324
2023-12-05,324
2019-10-20,323
2020-01-27,323
2020-02-19,323
2020-05-19,323
2020-10-29,323
2021-05-29,323
2022-01-10,323
2022-02-16,323
2022-05-20,323
2022-09-15,323
2022-10-23,323
2023-01-31,323
2023-04-08,323
2023-04-23,323
2023-07-01,323
2023-10-20,323
2019-01-20,322
2019-02-08,322
2019-03-15,322
2019-03-31,322
2019-06-27,322
2019-07-28,322
2019-08-14,322
2019-08-18,322
2019-12-06,322
2020-02-11,322
2020-03-22,322
2020-07-29,322
2020-07-30,322
2020-08-19,322
2020-11-04,322
2020-11-09,322
2021-02-09,322
2021-04-18,322
2021-08-14,322
2021-12-02,322
2021-12-22,322
2022-03-18,322
2022-07-12,322
2022-07-22,322
2022-11-13,322
2022-12-10,322
2023-05-25,322
2023-07-17,322
2023-08-20,322
2023-12-23,322
2023-12-28,322
2019-04-07,321
2019-05-11,321
2019-07-27,321
2019-10-14,321
2020-09-03,321
2020-12-19,321
2021-03-19,321
2021-06-13,321
2021-06-24,321
2022-04-06,321
2022-05-26,321
2022-07-23,321
2022-09-08,321
2022-09-12,321
2022-11-14,321
2023-03-10,321
2023-04-15,321
2023-10-05,321
2019-01-15,320
2019-06-01,320
2019-06-12,320
2020-03-20,320
2020-04-08,320
2020-05-01,320
2020-08-15,320
2020-11-12,320
2020-11-19,320
2021-03-24,320
2021-03-25,320
2021-11-07,320
2021-11-17,320
2021-11-21,320
2022-03-02,320
2022-03-22,320
2022-06-04,320
2022-07-10,320
2022-08-16,320
2022-09-21,320
2023-05-31,320
2023-09-20,320
2019-01-07,319
2019-01-14,319
2019-03-23,319
2019-06-21,319
2019-06-29,319
2019-12-07,319
2020-02-02,319
2020-05-04,319
2020-05-07,319
2020-07-18,319
2020-07-26,319
2020-08-01,319
2021-05-08,319
2021-10-30,319
2021-11-04,319
2022-02-13,319
2022-05-18,319
2022-06-25,319
2022-08-13,319
2023-03-13,319
2019-08-21,318
2019-10-09,318
2019-12-13,318
2020-01-12,318
2020-01-16,318
2020-05-17,318
2020-06-04,318
2020-06-20,318
2020-08-02,318
2020-08-27,318
2021-01-07,318
2021-04-27,318
2021-06-10,318
2021-07-31,318
2021-08-27,318
2021-09-17,318
2021-10-03,318
2022-01-13,318
2022-01-30,318
2022-03-14,318
2022-07-29,318
2022-08-03,318
2023-01-27,318
2023-04-21,318
2023-08-07,318
2023-08-26,318
2023-10-02,318
2019-01-19,317
2019-01-22,317
2019-05-06,317
2019-09-23,317
2019-11-28,317
2019-12-29,317
2020-01-10,317
2020-01-31,317
2020-12-13,317
2021-02-19,317
2021-02-25,317
2021-03-10,317
2021-03-28,317
2021-04-08,317
2021-05-23,317
2021-10-09,317
2021-12-09,317
2022-01-11,317
2022-02-01,317
2022-07-20,317
2022-11-04,317
2022-12-20,317
2023-07-07,317
2023-08-03,317
2023-11-04,317
2019-01-09,316
2019-02-17,316
2019-03-06,316
2019-03-07,316
2019-06-13,316
2019-09-06,316
2019-10-04,316
2019-12-25,316
2020-01-06,316
2020-11-07,316
2021-01-05,316
2021-05-18,316
2021-05-26,316
2021-06-08,316
2022-06-18,316
2022-08-15,316
2022-09-16,316
2022-12-27,316
2023-01-02,316
2023-01-23,316
2023-05-28,316
2023-07-29,316
2023-08-11,316
2023-10-04,316
2023-10-09,316
2023-12-01,316
2019-02-06,315
2019-04-20,315
2019-04-22,315
2019-07-11,315
2019-08-23,315
2019-08-26,315
2019-09-04,315
2019-10-01,315
2019-10-10,315
2020-06-18,315
2020-09-10,315
2021-01-16,315
2021-03-27,315
2021-05-06,315
2021-07-18,315
2021-12-18,315
2021-12-19,315
2022-02-14,315
2022-09-09,315
2022-10-05,315
2022-11-03,315
2022-11-24,315
2022-12-05,315
2023-04-19,315
2023-04-27,315
2023-04-28,315
2023-08-14,315
2023-10-08,315
2023-11-18,315
2019-03-04,314
2019-06-07,314
2019-09-08,314
2019-09-25,314
2020-01-18,314
2020-02-27,314
2020-03-08,314
2020-08-31,314
2020-10-19,314
2021-02-15,314
2021-04-20,314
2021-05-15,314
2021-09-09,314
2021-09-10,314
2022-01-06,314
2022-03-31,314
2022-06-23,314
2022-10-18,314
2022-10-30,314
2022-11-18,314
2022-12-03,314
2022-12-28,314
2022-12-31,314
2023-01-29,314
2023-03-09,314
2023-04-03,314
2023-05-04,314
2023-11-06,314
2023-11-20,314
2019-01-10,313
2019-04-12,313
2019-05-19,313
2019-07-25,313
2019-08-03,313
2019-10-29,313
2019-11-07,313
2020-04-28,313
2020-05-16,313
2020-06-12,313
2020-06-23,313
2020-08-04,313
2020-09-08,313
2020-09-15,313
2020-11-24,313
2021-01-31,313
2021-02-04,313
2021-03-15,313
2021-04-11,313
2021-04-14,313
2021-06-21,313
2021-07-10,313
2021-08-18,313
2021-09-14,313
2021-10-22,313
2022-01-05,313
2022-01-12,313
2022-04-03,313
2022-05-03,313
2022-07-03,313
2022-07-31,313
2022-08-25,313
2022-09-10,313
2023-04-12,313
2023-05-03,313
2023-11-05,313
2023-11-22,313
2019-01-27,312
2019-02-22,312
2019-03-02,312
2019-03-27,312
2019-04-23,312
2019-05-25,312
2019-09-27,312
2019-11-12,312
2019-11-24,312
2019-12-27,312
2020-02-23,312
2020-04-09,312
2020-05-22,312
2020-05-29,312
2020-09-12,312
2021-03-05,312
2021-04-17,312
2021-09-19,312
2022-02-09,312
2022-03-07,312
2022-05-05,312
2022-05-17,312
2022-06-17,312
2022-07-02,312
2022-07-14,312
2022-07-17,312
2022-08-22,312
2022-10-10,312
2022-10-25,312
2022-12-25,312
2023-02-20,312
2023-04-26,312
2023-07-04,312
2019-02-20,311
2019-05-20,311
2019-07-23,311
2019-09-26,311
2019-10-12,311
2019-10-25,311
2019-11-05,311
2020-01-14,311
2020-01-21,311
2020-05-05,311
2020-05-10,311
2020-06-07,311
2020-07-19,311
2020-11-02,311
2021-01-08,311
2021-09-01,311
2021-09-26,311
2021-12-03,311
2022-01-23,311
2022-02-02,311
2022-03-24,311
2022-05-01,311
2022-05-23,311
2022-07-24,311
2022-08-05,311
2022-09-11,311
2022-10-07,311
2023-01-14,311
2023-02-17,311
2023-04-11,311
2023-07-11,311
2023-09-01,311
2023-09-06,311
2023-09-24,311
2023-10-10,311
2023-10-12,311
2023-11-01,311
2019-02-18,310
2019-04-27,310
2019-07-04,310
2019-07-06,310
2019-07-31,310
2019-12-03,310
2019-12-30,310
2020-01-25,310
2020-03-19,310
2020-03-21,310
2020-04-22,310
2020-07-05,310
2020-07-23,310
2020-08-12,310
2020-12-05,310
2021-01-25,310
2021-01-30,310
2021-02-16,310
2021-03-06,310
2021-03-26,310
2021-04-12,310
2021-08-22,310
2021-10-29,310
2022-06-19,310
2022-07-21,310
2022-08-23,310
2022-08-28,310
2023-05-30,310
2023-09-16,310
2023-09-26,310
2023-11-25,310
2019-04-26,309
2019-06-20,309
2019-07-13,309
2019-08-19,309
2019-09-17,309
2019-10-03,309
2019-10-30,309
2019-11-15,309
2020-03-27,309
2020-04-23,309
2020-05-27,309
2020-05-31,309
2020-07-28,309
2020-08-18,309
2020-11-13,309
2020-11-27,309
2020-12-16,309
2020-12-24,309
2021-01-29,309
2021-02-20,309
2021-04-28,309
2021-05-30,309
2021-10-08,309
2021-10-13,309
2021-12-30,309
2022-06-15,309
2022-07-04,309
2022-08-11,309
2022-10-28,309
2023-03-18,309
2023-06-12,309
2023-06-22,309
2023-08-21,309
2023-10-25,309
2023-11-12,309
2023-11-29,309
2019-01-16,308
2019-01-23,308
2019-02-26,308
2019-03-01,308
2019-04-14,308
2019-04-15,308
2019-05-26,308
2019-06-19,308
2019-12-15,308
2020-02-03,308
2020-04-04,308
2020-04-16,308
2020-06-16,308
2020-07-04,308
2020-07-13,308
2020-07-31,308
2020-11-14,308
2020-12-03,308
2021-01-09,308
2021-02-03,308
2021-03-31,308
2021-04-03,308
2021-04-16,308
2021-04-30,308
2021-08-02,308
2021-09-21,308
2021-11-16,308
2022-01-08,308
2022-01-09,308
2022-02-24,308
2022-04-02,308
2022-07-13,308
2022-08-01,308
2022-09-14,308
2023-01-03,308
2023-02-11,308
2023-02-16,308
