transaction_time,count
06:25:00,448
22:22:00,433
21:22:00,433
21:16:00,433
08:30:00,432
10:43:00,432
08:22:00,431
19:23:00,431
04:07:00,429
05:16:00,429
02:58:00,429
13:09:00,429
07:00:00,428
21:53:00,428
20:55:00,427
14:02:00,427
23:43:00,427
00:28:00,427
04:57:00,426
12:59:00,426
01:29:00,426
20:15:00,425
16:11:00,424
06:36:00,424
15:58:00,424
08:46:00,424
16:36:00,424
11:29:00,424
22:33:00,423
20:35:00,423
16:16:00,423
14:23:00,422
06:41:00,422
04:29:00,422
04:19:00,422
15:39:00,422
20:12:00,421
00:58:00,421
04:53:00,421
17:05:00,421
03:46:00,420
15:50:00,420
14:56:00,419
01:59:00,419
21:02:00,419
18:12:00,419
00:57:00,419
22:16:00,419
20:13:00,418
07:27:00,418
05:49:00,418
15:01:00,418
16:04:00,418
01:14:00,418
22:47:00,417
01:58:00,417
21:50:00,416
06:28:00,416
16:55:00,416
09:10:00,416
01:25:00,416
19:53:00,416
06:06:00,416
16:59:00,416
10:19:00,415
00:11:00,415
01:16:00,415
08:56:00,415
22:00:00,415
08:43:00,415
23:12:00,415
10:38:00,415
01:33:00,415
06:05:00,414
10:58:00,414
08:33:00,414
04:58:00,414
14:42:00,414
09:26:00,414
13:38:00,414
13:24:00,414
23:49:00,414
08:19:00,414
11:06:00,414
20:32:00,414
13:26:00,414
13:41:00,413
00:30:00,413
01:04:00,413
02:13:00,413
17:31:00,413
01:13:00,413
20:50:00,413
08:35:00,413
04:54:00,413
07:46:00,412
03:22:00,412
03:33:00,412
23:26:00,412
23:51:00,412
18:02:00,412
15:30:00,412
12:20:00,411
15:33:00,411
15:18:00,411
03:11:00,411
15:42:00,411
10:17:00,411
12:25:00,411
07:53:00,411
00:51:00,410
12:24:00,410
03:43:00,410
07:21:00,410
05:00:00,410
06:11:00,410
11:38:00,410
08:44:00,410
10:32:00,410
08:39:00,410
16:19:00,410
11:32:00,410
14:51:00,410
08:24:00,410
08:13:00,409
09:55:00,409
04:12:00,409
01:17:00,409
08:49:00,409
00:24:00,409
10:33:00,409
11:01:00,409
20:19:00,409
20:09:00,408
21:46:00,408
19:57:00,408
09:42:00,408
03:03:00,408
17:00:00,408
23:08:00,408
18:09:00,408
08:54:00,407
20:37:00,407
10:37:00,407
12:46:00,407
10:27:00,407
05:47:00,407
07:34:00,407
01:10:00,407
05:01:00,407
08:06:00,407
11:34:00,407
08:58:00,407
07:06:00,407
11:05:00,407
12:36:00,407
02:12:00,406
08:20:00,406
22:50:00,406
23:06:00,406
00:56:00,406
17:15:00,406
21:52:00,406
20:27:00,406
16:44:00,406
09:15:00,406
06:18:00,406
23:23:00,406
09:51:00,406
22:06:00,406
12:39:00,406
00:45:00,406
22:17:00,406
09:27:00,406
16:17:00,405
11:08:00,405
02:33:00,405
11:59:00,405
17:42:00,405
12:15:00,405
10:35:00,405
03:06:00,405
11:41:00,405
14:24:00,405
04:44:00,405
13:40:00,405
13:53:00,405
06:24:00,404
17:43:00,404
13:22:00,404
10:40:00,404
19:05:00,404
18:54:00,404
01:40:00,404
11:21:00,404
02:09:00,404
23:47:00,404
16:33:00,404
15:02:00,404
15:16:00,404
20:22:00,404
23:15:00,404
18:53:00,403
20:01:00,403
19:14:00,403
21:04:00,403
00:16:00,403
07:55:00,403
06:39:00,403
02:42:00,403
20:26:00,403
03:09:00,403
19:51:00,403
00:26:00,403
23:59:00,403
10:25:00,403
22:12:00,402
23:32:00,402
06:59:00,402
00:55:00,402
06:07:00,402
16:43:00,402
02:20:00,402
01:41:00,402
14:06:00,402
11:42:00,402
09:43:00,402
01:52:00,402
05:08:00,402
11:15:00,402
21:41:00,402
11:35:00,402
15:59:00,402
20:17:00,401
19:17:00,401
13:29:00,401
08:01:00,401
18:13:00,401
15:31:00,401
03:50:00,401
19:16:00,401
19:03:00,401
09:09:00,401
22:14:00,401
09:14:00,401
12:18:00,401
17:38:00,401
12:21:00,401
15:13:00,401
07:01:00,401
23:13:00,401
17:11:00,401
20:45:00,401
16:18:00,401
22:46:00,401
17:53:00,401
04:02:00,401
10:47:00,401
04:15:00,401
21:47:00,400
02:05:00,400
02:04:00,400
05:54:00,400
20:20:00,400
23:02:00,400
01:38:00,400
15:55:00,400
13:44:00,400
08:31:00,400
19:40:00,400
10:59:00,400
18:17:00,400
18:25:00,400
17:30:00,400
08:23:00,400
10:23:00,400
05:36:00,400
08:14:00,400
21:12:00,400
23:37:00,400
16:37:00,400
23:46:00,400
18:03:00,399
23:44:00,399
11:26:00,399
10:03:00,399
19:11:00,399
19:38:00,399
23:03:00,399
23:38:00,399
20:38:00,399
19:48:00,399
17:59:00,399
02:40:00,399
07:07:00,399
10:04:00,399
01:03:00,399
11:10:00,399
02:59:00,399
03:54:00,399
11:50:00,398
22:49:00,398
15:49:00,398
03:08:00,398
00:08:00,398
21:10:00,398
07:05:00,398
14:07:00,398
08:34:00,398
17:06:00,398
18:37:00,398
09:19:00,398
23:56:00,398
10:51:00,398
14:34:00,398
06:58:00,398
18:51:00,398
17:52:00,398
10:29:00,398
03:39:00,397
10:02:00,397
09:45:00,397
03:24:00,397
11:20:00,397
07:22:00,397
04:11:00,397
21:39:00,397
21:42:00,397
07:40:00,397
18:22:00,397
07:24:00,397
07:57:00,397
15:10:00,397
19:20:00,397
16:28:00,397
12:03:00,397
22:27:00,397
07:20:00,397
22:37:00,397
12:45:00,396
05:31:00,396
02:51:00,396
23:41:00,396
17:07:00,396
22:48:00,396
09:21:00,396
14:08:00,396
17:49:00,396
03:05:00,396
12:12:00,396
02:18:00,396
17:37:00,396
04:01:00,396
17:35:00,396
10:31:00,396
14:18:00,396
21:05:00,396
21:06:00,396
01:34:00,396
10:45:00,396
20:39:00,396
11:18:00,396
23:20:00,396
12:00:00,396
13:11:00,395
07:26:00,395
22:15:00,395
04:40:00,395
11:53:00,395
13:31:00,395
23:36:00,395
21:03:00,395
17:18:00,395
22:32:00,395
12:11:00,395
02:27:00,395
15:21:00,395
12:32:00,395
04:56:00,395
00:13:00,395
16:12:00,395
14:17:00,395
00:36:00,395
22:56:00,395
15:28:00,394
07:09:00,394
22:09:00,394
19:35:00,394
22:59:00,394
17:09:00,394
09:06:00,394
11:24:00,394
14:12:00,394
16:08:00,394
08:40:00,394
18:15:00,394
02:22:00,394
14:20:00,394
16:47:00,394
14:26:00,394
01:19:00,394
19:07:00,394
18:27:00,394
16:30:00,393
11:51:00,393
19:08:00,393
03:04:00,393
09:04:00,393
09:17:00,393
20:54:00,393
04:03:00,393
09:29:00,393
11:25:00,393
00:19:00,393
15:14:00,393
22:24:00,393
17:27:00,393
14:55:00,393
08:29:00,393
11:56:00,393
18:08:00,393
15:34:00,393
07:33:00,393
17:58:00,393
20:28:00,393
19:15:00,393
04:34:00,393
04:20:00,393
05:15:00,392
10:28:00,392
20:07:00,392
21:17:00,392
00:48:00,392
09:24:00,392
12:27:00,392
21:59:00,392
06:50:00,392
12:41:00,392
08:16:00,392
22:40:00,392
00:09:00,392
04:08:00,392
03:37:00,392
00:37:00,392
13:49:00,392
04:22:00,392
09:53:00,392
00:35:00,392
22:21:00,392
21:09:00,392
06:55:00,392
18:20:00,392
01:09:00,392
11:31:00,392
09:46:00,392
17:25:00,391
04:36:00,391
23:21:00,391
14:31:00,391
18:34:00,391
05:37:00,391
04:45:00,391
02:47:00,391
00:33:00,391
03:32:00,391
03:36:00,391
16:49:00,391
14:01:00,391
15:36:00,391
05:53:00,391
17:54:00,391
02:30:00,391
01:43:00,391
11:44:00,391
06:44:00,391
06:03:00,391
11:33:00,391
15:11:00,391
22:03:00,391
00:22:00,391
05:48:00,391
12:01:00,391
22:28:00,391
18:16:00,391
06:53:00,391
15:25:00,390
00:40:00,390
04:13:00,390
06:37:00,390
23:24:00,390
03:21:00,390
04:50:00,390
02:39:00,390
17:50:00,390
14:44:00,390
14:58:00,390
05:27:00,390
02:03:00,390
06:13:00,390
17:12:00,390
16:42:00,390
01:02:00,390
20:41:00,390
21:43:00,390
02:56:00,390
12:14:00,390
16:35:00,390
16:48:00,390
20:43:00,390
06:09:00,390
18:04:00,389
13:27:00,389
23:33:00,389
03:00:00,389
03:28:00,389
07:36:00,389
16:02:00,389
19:02:00,389
12:53:00,389
21:19:00,389
12:55:00,389
11:00:00,389
13:17:00,389
02:49:00,389
14:04:00,389
01:18:00,389
09:13:00,389
08:32:00,389
05:05:00,389
04:59:00,389
15:38:00,389
01:23:00,389
02:38:00,389
15:51:00,389
08:51:00,389
20:59:00,389
08:55:00,389
16:06:00,389
16:15:00,389
08:15:00,388
17:13:00,388
18:29:00,388
08:25:00,388
17:45:00,388
02:41:00,388
07:15:00,388
06:40:00,388
21:49:00,388
17:24:00,388
19:54:00,388
09:41:00,388
12:02:00,388
21:14:00,388
20:48:00,388
01:31:00,388
03:56:00,388
22:55:00,388
10:41:00,388
02:53:00,388
03:26:00,388
02:10:00,388
22:44:00,388
16:57:00,388
06:01:00,388
03:45:00,388
03:07:00,388
13:23:00,388
15:12:00,387
01:44:00,387
10:06:00,387
09:11:00,387
02:35:00,387
16:51:00,387
13:37:00,387
15:46:00,387
19:37:00,387
12:56:00,387
03:40:00,387
14:38:00,387
02:15:00,387
08:42:00,387
16:27:00,387
23:57:00,387
07:03:00,387
14:14:00,387
05:10:00,387
19:33:00,387
23:25:00,387
07:28:00,387
06:51:00,387
17:57:00,387
22:31:00,387
12:13:00,387
12:22:00,387
13:02:00,386
00:12:00,386
06:15:00,386
06:56:00,386
00:18:00,386
17:02:00,386
13:55:00,386
00:27:00,386
05:59:00,386
18:19:00,386
01:36:00,386
02:01:00,386
23:39:00,386
18:44:00,386
04:26:00,386
06:29:00,386
22:02:00,386
07:02:00,386
21:32:00,386
00:43:00,386
16:40:00,386
05:22:00,386
03:34:00,386
10:22:00,386
06:17:00,386
17:39:00,386
05:23:00,385
21:11:00,385
20:34:00,385
