customer_id,count
CUST003688,20
CUST054493,20
CUST035430,19
CUST068276,19
CUST052011,19
CUST061785,19
CUST038403,18
CUST020406,18
CUST023213,18
CUST023770,18
CUST078702,18
CUST000646,18
CUST024441,18
CUST064200,18
CUST078813,18
CUST070174,18
CUST028251,18
CUST011429,18
CUST037699,18
CUST056966,18
CUST071034,18
CUST001719,17
CUST068756,17
CUST032253,17
CUST022518,17
CUST022737,17
CUST020272,17
CUST050841,17
CUST024607,17
CUST000236,17
CUST043395,17
CUST057594,17
CUST064367,17
CUST072303,17
CUST038541,17
CUST007236,17
CUST009863,17
CUST045077,17
CUST029820,17
CUST038061,17
CUST001045,17
CUST041132,17
CUST060113,17
CUST027781,17
CUST048618,17
CUST060286,17
CUST014049,17
CUST014333,17
CUST010560,17
CUST018070,17
CUST056500,17
CUST040324,17
CUST031791,17
CUST035023,17
CUST044747,17
CUST034409,17
CUST014426,17
CUST049295,17
CUST022756,17
CUST072500,17
CUST042828,16
CUST034434,16
CUST053464,16
CUST056537,16
CUST077852,16
CUST037917,16
CUST078947,16
CUST070959,16
CUST066631,16
CUST015311,16
CUST060281,16
CUST051639,16
CUST077257,16
CUST046271,16
CUST040829,16
CUST023517,16
CUST050017,16
CUST011037,16
CUST008156,16
CUST050509,16
CUST012846,16
CUST039933,16
CUST024108,16
CUST063885,16
CUST022428,16
CUST058118,16
CUST036030,16
CUST061717,16
CUST027935,16
CUST031763,16
CUST079242,16
CUST075240,16
CUST070095,16
CUST014742,16
CUST055690,16
CUST050375,16
CUST037488,16
CUST067193,16
CUST048742,16
CUST000369,16
CUST042854,16
CUST052412,16
CUST075536,16
CUST003250,16
CUST002766,16
CUST004498,16
CUST058945,16
CUST011574,16
CUST067699,16
CUST029546,16
CUST004572,16
CUST045006,16
CUST052977,16
CUST066026,16
CUST051357,16
CUST031697,16
CUST056791,16
CUST071521,16
CUST038035,16
CUST057895,16
CUST038799,16
CUST065540,16
CUST059790,16
CUST065954,16
CUST067394,16
CUST000353,16
CUST060101,16
CUST069347,16
CUST072965,16
CUST050813,16
CUST043678,16
CUST058569,16
CUST050079,16
CUST037743,16
CUST014200,16
CUST057536,16
CUST059362,16
CUST054843,16
CUST024576,16
CUST057853,16
CUST013735,16
CUST027878,16
CUST014906,15
CUST044616,15
CUST014191,15
CUST014502,15
CUST071900,15
CUST058848,15
CUST071368,15
CUST041071,15
CUST035248,15
CUST058781,15
CUST043740,15
CUST028070,15
CUST026066,15
CUST070369,15
CUST034636,15
CUST017640,15
CUST006589,15
CUST047209,15
CUST012319,15
CUST030270,15
CUST047497,15
CUST068579,15
CUST035893,15
CUST006605,15
CUST071735,15
CUST051314,15
CUST021062,15
CUST077463,15
CUST024565,15
CUST029918,15
CUST064081,15
CUST015660,15
CUST049594,15
CUST019119,15
CUST062998,15
CUST008288,15
CUST048069,15
CUST070508,15
CUST018985,15
CUST077262,15
CUST074593,15
CUST039888,15
CUST012970,15
CUST042960,15
CUST022598,15
CUST011970,15
CUST044589,15
CUST060622,15
CUST073254,15
CUST048762,15
CUST076536,15
CUST047243,15
CUST012200,15
CUST023578,15
CUST048983,15
CUST010602,15
CUST033197,15
CUST057677,15
CUST045907,15
CUST009736,15
CUST070044,15
CUST018147,15
CUST024480,15
CUST028224,15
CUST073527,15
CUST063239,15
CUST079860,15
CUST075025,15
CUST076677,15
CUST008147,15
CUST014150,15
CUST025100,15
CUST015870,15
CUST004380,15
CUST023960,15
CUST021448,15
CUST078015,15
CUST009505,15
CUST049855,15
CUST035070,15
CUST047032,15
CUST034025,15
CUST062584,15
CUST034806,15
CUST021736,15
CUST070673,15
CUST067890,15
CUST043576,15
CUST040966,15
CUST013302,15
CUST013590,15
CUST064207,15
CUST024911,15
CUST025421,15
CUST006584,15
CUST017674,15
CUST032178,15
CUST030237,15
CUST020344,15
CUST032668,15
CUST064238,15
CUST002119,15
CUST042043,15
CUST076809,15
CUST057866,15
CUST003502,15
CUST076746,15
CUST068873,15
CUST023491,15
CUST059572,15
CUST076828,15
CUST046269,15
CUST031372,15
CUST070546,15
CUST023101,15
CUST056632,15
CUST002654,15
CUST000295,15
CUST041783,15
CUST002795,15
CUST073261,15
CUST051039,15
CUST021014,15
CUST058029,15
CUST024212,15
CUST076741,15
CUST058860,15
CUST022371,15
CUST079811,15
CUST055250,15
CUST064965,15
CUST048375,15
CUST050979,15
CUST073335,15
CUST008058,15
CUST058901,15
CUST015475,15
CUST028700,15
CUST058542,15
CUST024460,15
CUST067195,15
CUST040101,15
CUST069861,15
CUST068232,15
CUST078374,15
CUST025919,15
CUST063204,15
CUST076694,15
CUST045613,15
CUST036912,15
CUST000577,15
CUST018317,15
CUST042179,15
CUST038756,15
CUST000270,15
CUST030767,15
CUST067254,15
CUST070099,15
CUST024979,15
CUST034315,15
CUST052034,15
CUST059767,15
CUST027331,15
CUST022704,15
CUST025754,15
CUST072220,15
CUST015741,15
CUST063911,15
CUST055821,15
CUST030761,15
CUST072039,15
CUST073928,15
CUST027226,15
CUST026376,15
CUST060278,15
CUST050299,15
CUST018064,15
CUST046137,15
CUST012168,15
CUST020782,15
CUST033827,15
CUST046965,15
CUST026198,15
CUST020496,15
CUST054013,15
CUST028354,15
CUST015030,15
CUST069279,15
CUST025693,15
CUST061989,15
CUST044841,15
CUST043588,15
CUST079268,15
CUST012059,15
CUST032880,15
CUST071562,15
CUST070774,15
CUST057595,15
CUST025806,15
